date, value
02/01/1986,0.9
03/01/1986,0.99
06/01/1986,1.07
07/01/1986,1.1
08/01/1986,0.83
09/01/1986,1.01
10/01/1986,1.04
13/01/1986,1.14
14/01/1986,1.14
15/01/1986,1.06
16/01/1986,1.11
17/01/1986,1.08
21/01/1986,1.17
22/01/1986,1.19
23/01/1986,1.22
24/01/1986,1.22
27/01/1986,1.18
28/01/1986,1.14
29/01/1986,1.03
30/01/1986,1.02
31/01/1986,1.09
03/02/1986,1.06
04/02/1986,1.08
05/02/1986,0.99
06/02/1986,0.9
07/02/1986,0.85
10/02/1986,0.93
11/02/1986,0.95
12/02/1986,0.95
13/02/1986,0.96
14/02/1986,1.04
18/02/1986,0.98
19/02/1986,0.92
20/02/1986,0.89
21/02/1986,1.02
24/02/1986,0.98
25/02/1986,0.89
26/02/1986,0.93
27/02/1986,0.91
28/02/1986,0.86
03/03/1986,0.91
04/03/1986,0.91
05/03/1986,0.84
06/03/1986,1
07/03/1986,0.95
10/03/1986,0.95
11/03/1986,0.93
12/03/1986,0.82
13/03/1986,0.91
14/03/1986,0.96
17/03/1986,0.94
18/03/1986,0.96
19/03/1986,1.07
20/03/1986,1.12
21/03/1986,1.09
24/03/1986,1.15
25/03/1986,1.18
26/03/1986,1.15
27/03/1986,1.1
01/04/1986,0.98
02/04/1986,0.97
03/04/1986,0.98
04/04/1986,1.12
07/04/1986,1.01
08/04/1986,0.93
09/04/1986,0.87
10/04/1986,0.86
11/04/1986,0.92
14/04/1986,0.97
15/04/1986,1
16/04/1986,0.98
17/04/1986,0.72
18/04/1986,0.76
21/04/1986,0.82
22/04/1986,0.8
23/04/1986,0.72
24/04/1986,0.7
25/04/1986,0.8
28/04/1986,0.9
29/04/1986,0.79
30/04/1986,0.78
01/05/1986,0.77
02/05/1986,0.79
06/05/1986,0.76
07/05/1986,0.77
08/05/1986,0.77
09/05/1986,0.79
12/05/1986,0.81
13/05/1986,0.97
14/05/1986,0.85
15/05/1986,0.83
16/05/1986,0.92
19/05/1986,0.93
20/05/1986,0.96
21/05/1986,0.86
22/05/1986,0.86
